,dec_0_self_dot_ratio_norm,dec_1_self_dot_ratio_norm,dec_2_self_dot_ratio_norm,dec_3_self_dot_ratio_norm,dec_4_self_dot_ratio_norm,dec_5_self_dot_ratio_norm,dec_6_self_dot_ratio_norm,dec_7_self_dot_ratio_norm
25108,0.0014251965,0.0014251451,0.0014251348,0.00142523,0.0014251957,0.0014251628,0.0014252084,0.0014252719
25109,0.001410932,0.0014108242,0.0014108679,0.0014107769,0.0014108509,0.0014107721,0.0014107624,0.0014108508
25110,0.0014182897,0.0014183858,0.0014183756,0.0014183256,0.0014182875,0.0014184212,0.0014183567,0.0014184149
25111,0.001406923,0.0014069511,0.0014069299,0.0014068085,0.0014068367,0.0014069155,0.0014067771,0.0014069446
25112,0.001415737,0.0014156846,0.0014157343,0.0014156676,0.0014157458,0.0014155842,0.0014156211,0.0014157854
25113,0.0014215335,0.0014217141,0.0014217191,0.001421871,0.0014218241,0.0014217553,0.0014217462,0.0014218455
25114,0.0014137519,0.0014137384,0.0014135896,0.0014135891,0.0014135466,0.0014135615,0.0014136562,0.0014136249
25115,0.0014266225,0.0014265977,0.001426604,0.0014265955,0.0014264598,0.0014265771,0.001426556,0.0014264616
25116,0.0014153456,0.0014155507,0.0014155273,0.0014156359,0.0014155271,0.0014156033,0.0014154838,0.0014154543
25117,0.0014052988,0.0014053086,0.0014052634,0.0014052513,0.0014054076,0.0014053347,0.0014051835,0.0014053244
25118,0.0014096915,0.0014098085,0.0014097256,0.0014096405,0.0014097075,0.0014097044,0.0014097332,0.001409769
25119,0.0014179791,0.0014178825,0.001417714,0.0014178258,0.0014177818,0.001417779,0.0014179475,0.0014179418
25120,0.0014129598,0.0014130819,0.0014130698,0.0014130245,0.0014129557,0.001412878,0.0014130872,0.001413046
25121,0.0014096395,0.0014095003,0.0014094578,0.0014095407,0.0014096438,0.0014093507,0.001409444,0.0014095913
25122,0.0014068657,0.0014069815,0.0014068407,0.0014068866,0.001406985,0.0014067985,0.0014066515,0.0014070073
25123,0.0014162972,0.0014161833,0.0014163342,0.0014163237,0.001416225,0.0014163491,0.0014162068,0.0014162494
25124,0.0014088615,0.0014089952,0.0014090006,0.0014091438,0.0014091451,0.0014089544,0.0014089418,0.0014089986
25125,0.0014191607,0.0014191198,0.0014191141,0.0014191157,0.0014191333,0.0014191164,0.0014191828,0.0014191217
25126,0.0014168367,0.0014169283,0.0014169975,0.0014170087,0.0014170031,0.001416954,0.0014169766,0.0014169848
25127,0.0014082931,0.001408237,0.0014083321,0.0014082758,0.0014081339,0.0014081036,0.0014082202,0.0014082667
25128,0.0014075366,0.0014075785,0.0014076708,0.0014075447,0.0014075304,0.0014076403,0.0014075742,0.001407575
25129,0.0014180425,0.0014182201,0.0014180284,0.0014182851,0.00141814,0.0014182017,0.0014180767,0.0014181322
25130,0.0014146438,0.0014146945,0.0014146739,0.001414768,0.0014147083,0.0014146771,0.0014146746,0.0014147538
25131,0.0014188841,0.0014190475,0.0014190037,0.0014190642,0.001418939,0.0014189918,0.0014190323,0.0014191166
25132,0.0014248779,0.0014247238,0.0014248778,0.0014247091,0.0014248048,0.0014247282,0.0014247971,0.0014248398
25133,0.001418775,0.0014188255,0.0014190528,0.0014188945,0.0014187687,0.0014188123,0.0014185116,0.0014187732
25134,0.0014158692,0.0014158553,0.0014158094,0.0014159236,0.0014157923,0.0014159266,0.0014158733,0.0014158494
25135,0.0014101964,0.0014101233,0.0014101093,0.0014102522,0.0014102061,0.0014102244,0.0014101692,0.0014101788
25136,0.001417722,0.0014176897,0.0014176911,0.0014176492,0.0014176855,0.0014175546,0.0014175263,0.0014176596
25137,0.0014224023,0.0014222751,0.0014223668,0.0014222696,0.0014222892,0.0014223725,0.0014222759,0.0014223098
25138,0.0014188889,0.0014190471,0.0014189511,0.0014187372,0.0014187976,0.0014188108,0.0014187304,0.0014188539
25139,0.0014249578,0.0014248504,0.0014249092,0.0014247554,0.0014248092,0.0014247892,0.0014247185,0.0014248852
25140,0.0014232182,0.0014231283,0.0014232156,0.001423072,0.0014231228,0.0014229841,0.0014231735,0.001423133
25141,0.0014151473,0.0014152582,0.0014151812,0.0014150986,0.0014150991,0.0014149906,0.0014150628,0.0014150991
25142,0.0014166987,0.0014166229,0.0014167866,0.0014162906,0.0014165615,0.0014167519,0.0014164755,0.0014167815
25143,0.0014159204,0.0014158988,0.0014159824,0.0014159143,0.0014160108,0.0014159249,0.0014158053,0.0014158778
25144,0.0014129935,0.0014130078,0.0014130182,0.001413107,0.0014130219,0.0014130571,0.0014129803,0.0014130409
25145,0.0014209604,0.0014210617,0.0014208099,0.0014207978,0.0014208668,0.0014208144,0.0014207757,0.0014208612
25146,0.0014094383,0.0014094358,0.001409423,0.001409401,0.0014094125,0.0014093559,0.0014092618,0.0014092372
25147,0.0014242576,0.0014241835,0.0014241459,0.0014241389,0.0014240367,0.0014241518,0.0014241219,0.0014241419
