feature_id,llama32-3B-Instruct_ckpt_0_contrib_mean,llama32-3B-Instruct_ckpt_120_contrib_mean,llama32-3B-Instruct_ckpt_240_contrib_mean,llama32-3B-Instruct_ckpt_360_contrib_mean,llama32-3B-Instruct_ckpt_480_contrib_mean,llama32-3B-Instruct_ckpt_600_contrib_mean,llama32-3B-Instruct_ckpt_720_contrib_mean,llama32-3B-Instruct_ckpt_840_contrib_mean
0,0.888795912266,0.884969115257,0.869924724102,0.856427073479,0.852385759354,0.856927633286,0.861329197884,0.862569808960
1,0.864566147327,0.859130680561,0.852144360542,0.853672385216,0.857857167721,0.858139276505,0.853863179684,0.845846712589
2,0.854865431786,0.860077500343,0.851755738258,0.844206511974,0.853260576725,0.838764250278,0.839585900307,0.842326164246
3,0.865133404732,0.870328247547,0.868009507656,0.877838790417,0.893923044205,0.885982394218,0.887109637260,0.882610082626
4,0.875754535198,0.863682448864,0.835392534733,0.819178164005,0.826027035713,0.808540582657,0.808119416237,0.804992258549
5,0.907990276814,0.914922714233,0.921004712582,0.928342700005,0.936100602150,0.931004405022,0.933278501034,0.928863704205
6,2.138124465942,2.138114690781,2.128484964371,2.127550601959,2.126224756241,2.118618488312,2.119370937347,2.115821123123
7,2.013505458832,2.001069545746,1.990937471390,1.987062573433,1.983831405640,1.975761532784,1.966666340828,1.953176617622
8,0.940695345402,0.928730368614,0.928526699543,0.919418275356,0.924936354160,0.912726759911,0.915975928307,0.915141940117
9,0.837018489838,0.826195418835,0.816731154919,0.822117507458,0.827933013439,0.853392422199,0.857209324837,0.858641982079
10,1.051870465279,1.050759315491,1.042080521584,1.050756812096,1.051979064941,1.061994314194,1.065599322319,1.059385776520
11,0.862670302391,0.857597649097,0.865842580795,0.869433820248,0.883286297321,0.889288723469,0.887165367603,0.891662657261
12,0.908206760883,0.903036355972,0.897786557674,0.889362394810,0.894192934036,0.881324410439,0.879830300808,0.875618338585
13,0.848221838474,0.837004423141,0.827692687511,0.803847610950,0.812234580517,0.810484766960,0.808096408844,0.810200273991
14,0.887801229954,0.882896602154,0.875184178352,0.866595268250,0.864168286324,0.848443329334,0.846934676170,0.839151620865
15,1.648284196854,1.630913734436,1.605621218681,1.586062908173,1.585222005844,1.587020874023,1.585432887077,1.579528212547
16,1.465249061584,1.454143524170,1.443994760513,1.436348676682,1.432842612267,1.430314183235,1.423613429070,1.412294864655
17,1.541911959648,1.536608457565,1.527391672134,1.503545403481,1.499833106995,1.496610164642,1.490992426872,1.482331037521
18,0.912701129913,0.916632533073,0.909661829472,0.903287768364,0.909774601460,0.892402350903,0.893433332443,0.894540190697
19,2.135030269623,2.130357742310,2.124475479126,2.108474731445,2.113769531250,2.106357336044,2.106690883636,2.102530479431
20,0.844203591347,0.836969256401,0.825512468815,0.816040813923,0.822909533978,0.822241127491,0.815249502659,0.816918075085
21,0.794655442238,0.797432482243,0.795503735542,0.786479175091,0.801755070686,0.808011412621,0.811329841614,0.822954952717
22,0.857664644718,0.864641904831,0.872961699963,0.879931926727,0.881163835526,0.890967249870,0.893744587898,0.889845073223
23,0.950357735157,0.928115904331,0.913957238197,0.898618638515,0.894641458988,0.894740223885,0.885274291039,0.879270553589
24,2.184976816177,2.185125827789,2.186156272888,2.188437223434,2.184751033783,2.186475992203,2.191050052643,2.185560464859
25,1.342319607735,1.325804352760,1.316416263580,1.304894685745,1.312392950058,1.320759057999,1.318375468254,1.307163834572
26,1.999119281769,1.996061801910,1.987333416939,1.985669136047,1.976297974586,1.976443648338,1.983743906021,1.976347923279
27,0.908564567566,0.904801547527,0.904896438122,0.903340339661,0.895024299622,0.899298965931,0.902862310410,0.899785518646
28,0.875772178173,0.873659014702,0.876155376434,0.876149952412,0.879738509655,0.865442216396,0.866291224957,0.859525442123
29,0.894064068794,0.875453352928,0.863812386990,0.857959449291,0.851124048233,0.853470623493,0.853414356709,0.842512488365
30,0.869437396526,0.868238389492,0.850043416023,0.836799383163,0.841413319111,0.854701876640,0.858268022537,0.855911850929
31,0.881128787994,0.876617074013,0.865309119225,0.854568481445,0.858537077904,0.861893475056,0.856421470642,0.853912293911
32,0.809609055519,0.789267420769,0.777232646942,0.772907733917,0.785599052906,0.787771403790,0.786624491215,0.791229665279
33,0.907663643360,0.889480352402,0.876757621765,0.864747345448,0.858307063580,0.857120513916,0.859186589718,0.860757648945
34,0.795053005219,0.800308704376,0.800958573818,0.799378156662,0.800257027149,0.800985276699,0.800572812557,0.799552381039
35,0.889174103737,0.888194799423,0.877092540264,0.882173657417,0.887809216976,0.878382027149,0.888855576515,0.889895379543
36,0.944203495979,0.930499970913,0.904834806919,0.896975159645,0.897063255310,0.898286283016,0.892559111118,0.896447002888
37,0.826079249382,0.821132719517,0.809324800968,0.791233003139,0.789394199848,0.794986307621,0.803054451942,0.795820593834
38,0.839448988438,0.832728266716,0.832095265388,0.838639974594,0.842818439007,0.842019915581,0.850837647915,0.852785468102
39,0.868950843811,0.876250386238,0.867370784283,0.864872634411,0.865859210491,0.857503473759,0.865278601646,0.858348011971
40,1.270846962929,1.272983431816,1.265121102333,1.264312744141,1.261860370636,1.273256778717,1.273341655731,1.267121315002
41,0.990251362324,0.995906949043,0.979348540306,0.972588181496,0.970663547516,0.975939571857,0.978217840195,0.967265307903
42,0.840471386909,0.842895150185,0.846119821072,0.836971402168,0.838380932808,0.837217569351,0.839072704315,0.823221445084
43,2.471193790436,2.476745367050,2.470723390579,2.464258909225,2.464177608490,2.471987962723,2.472155809402,2.462981462479
44,0.858715593815,0.855864405632,0.863818883896,0.851404249668,0.855917215347,0.850905537605,0.849840998650,0.840856015682
45,1.322133898735,1.315304636955,1.314327955246,1.303125739098,1.306552648544,1.307322025299,1.301533579826,1.303944230080
46,1.120116233826,1.102542519569,1.095915198326,1.090654611588,1.089729785919,1.084182858467,1.075837969780,1.079541802406
47,0.904509723186,0.900071084499,0.894251167774,0.877677559853,0.886351644993,0.895958960056,0.900128901005,0.901753008366
48,0.901563286781,0.904787838459,0.909615039825,0.892518341541,0.888002395630,0.906461715698,0.914136946201,0.916190445423
49,0.876896321774,0.868724524975,0.860679984093,0.861536324024,0.869945287704,0.883522689342,0.880566537380,0.883803308010
50,2.271567821503,2.268955707550,2.260612487793,2.254412174225,2.250288963318,2.246664285660,2.250369548798,2.239101886749
51,2.207770347595,2.196837425232,2.185832023621,2.178964376450,2.177448272705,2.153956413269,2.158581018448,2.142822742462
52,0.990713894367,0.985335290432,0.984741985798,0.978097558022,0.984428942204,0.985218226910,0.987544417381,0.987751126289
53,0.920528948307,0.917916357517,0.910647094250,0.897327184677,0.895974457264,0.897470653057,0.899779260159,0.897362530231
54,1.367068886757,1.363736629486,1.352551341057,1.349254846573,1.352903366089,1.358663678169,1.356826186180,1.348597884178
55,0.816579043865,0.814032852650,0.808714747429,0.789327144623,0.792632400990,0.793722689152,0.799548268318,0.801075220108
56,0.923579096794,0.915814220905,0.911675155163,0.913755834103,0.915344953537,0.920799434185,0.921320259571,0.911759018898
57,0.906978666782,0.910439252853,0.910494446754,0.919775903225,0.924255073071,0.913268744946,0.920592069626,0.916915416718
58,0.880033493042,0.871412813663,0.848294198513,0.829901695251,0.830824136734,0.820511996746,0.813674747944,0.814300060272
59,2.431591749191,2.432449579239,2.427775382996,2.426878929138,2.422921419144,2.426527500153,2.430570602417,2.424141407013
60,0.934699654579,0.927751362324,0.917863726616,0.903550684452,0.909283876419,0.916595697403,0.923259198666,0.918033719063
61,1.418811202049,1.410546183586,1.413530945778,1.401952505112,1.401223659515,1.397889018059,1.399914026260,1.395648121834
62,1.587307095528,1.593196153641,1.594245553017,1.581396937370,1.591391801834,1.595410704613,1.595812201500,1.588910698891
63,1.753064632416,1.745780944824,1.740221023560,1.736422777176,1.733904361725,1.733183860779,1.731499314308,1.725647807121
64,0.881231546402,0.885456860065,0.894543170929,0.891203820705,0.898104369640,0.890531957150,0.887208044529,0.890665888786
65,0.868734955788,0.863838016987,0.864430308342,0.859834134579,0.858095824718,0.858067631721,0.857859015465,0.861350297928
66,0.849228203297,0.833774268627,0.827320158482,0.815011799335,0.823437452316,0.830687820911,0.830336451530,0.824638545513
67,0.878800988197,0.879050731659,0.878972172737,0.870005369186,0.881466209888,0.871979296207,0.873595356941,0.870027422905
68,0.908520817757,0.910645782948,0.919521689415,0.914085447788,0.924292683601,0.921122729778,0.923665940762,0.919465005398
69,1.751761317253,1.747026085854,1.742117762566,1.735183358192,1.732950925827,1.736026883125,1.731127619743,1.719684958458
70,0.997443199158,0.990817010403,0.997489035130,0.994464278221,0.991481602192,0.984965622425,0.982697069645,0.977716147900
71,0.829836130142,0.827700436115,0.804447352886,0.787190616131,0.789699494839,0.792015135288,0.789407789707,0.780904054642
72,0.839401781559,0.842331051826,0.838682711124,0.836893081665,0.838654041290,0.838208019733,0.837292075157,0.836606562138
73,0.786954820156,0.794391989708,0.804564893246,0.809526562691,0.816434025764,0.819742560387,0.820848584175,0.818623185158
74,0.814850747585,0.820139884949,0.825541675091,0.833086252213,0.834014534950,0.848808586597,0.855670452118,0.843354105949
75,0.942452967167,0.947304487228,0.949664652348,0.957905232906,0.948826134205,0.955407023430,0.960250914097,0.946920573711
76,0.945601642132,0.950230896473,0.945815265179,0.924772322178,0.930073022842,0.908337712288,0.908416450024,0.903347194195
77,0.813655436039,0.816069304943,0.823377311230,0.833002865314,0.846939325333,0.849343359470,0.855197072029,0.855478167534
78,2.238572359085,2.240370988846,2.239037990570,2.239536285400,2.237860202789,2.231962203979,2.227750301361,2.227726221085
79,0.948020219803,0.943935513496,0.943625509739,0.931658864021,0.933004975319,0.922485768795,0.923740744591,0.922342181206
80,0.962246358395,0.968378424644,0.963706374168,0.952774286270,0.954370200634,0.949238717556,0.950454056263,0.947669029236
81,0.872480213642,0.867652535439,0.842405915260,0.827475607395,0.825982272625,0.823333740234,0.820282399654,0.822153985500
82,0.839293897152,0.823227703571,0.813414335251,0.801802635193,0.814288079739,0.805054247379,0.797816395760,0.795470535755
83,1.219962954521,1.216392040253,1.209030866623,1.216388940811,1.230979204178,1.212459206581,1.216494917870,1.223647713661
84,1.843714118004,1.843747615814,1.837551712990,1.828435897827,1.832120895386,1.826612591743,1.825985550880,1.823594450951
85,1.819346785545,1.817539453506,1.810251951218,1.800130248070,1.797858595848,1.795476317406,1.791029214859,1.780064702034
86,0.891221225262,0.886572241783,0.878429949284,0.873653590679,0.882350027561,0.870344877243,0.865148127079,0.874547541142
87,1.861870288849,1.874291062355,1.866681456566,1.867501974106,1.875715732574,1.878162622452,1.881667137146,1.887520313263
88,0.827225685120,0.827278673649,0.832070827484,0.841988980770,0.858646631241,0.858030676842,0.861291825771,0.864745438099
89,0.958970785141,0.960459113121,0.957784593105,0.955065846443,0.957017838955,0.961528420448,0.962942838669,0.964816510677
90,0.805176079273,0.814477741718,0.815923750401,0.829471468925,0.848020315170,0.844814062119,0.852966904640,0.858068108559
91,0.910270035267,0.925804972649,0.942304909229,0.951190292835,0.955304801464,0.960165917873,0.961815536022,0.956613361835
92,0.907792270184,0.917322158813,0.919903635979,0.922959566116,0.925962805748,0.912471711636,0.914031445980,0.902817249298
93,0.864319026470,0.861338198185,0.867345511913,0.867135524750,0.873734116554,0.894174575806,0.902689993382,0.897910475731
94,0.757273554802,0.778351485729,0.796986103058,0.828648626804,0.846978783607,0.855605661869,0.864769876003,0.856167376041
95,0.891974806786,0.910666644573,0.924633443356,0.936242580414,0.941063642502,0.934606611729,0.932460069656,0.929627001286
96,0.988531708717,0.993190824986,0.987338364124,0.985468268394,0.978922307491,0.981989800930,0.975044488907,0.962049841881
97,1.023536324501,1.003543376923,0.988373577595,0.980213642120,0.975564479828,0.978209912777,0.976884722710,0.972747564316
98,0.883845269680,0.872364103794,0.865134179592,0.851967692375,0.860007405281,0.857317149639,0.858313739300,0.861071467400
99,1.610617876053,1.596910119057,1.576131105423,1.570077180862,1.568239688873,1.573459506035,1.573122620583,1.574020743370
100,1.829374432564,1.813583731651,1.779930114746,1.754930615425,1.753177881241,1.742217183113,1.732055902481,1.723915696144
101,1.674404501915,1.668589830399,1.654313087463,1.641165375710,1.646323919296,1.632287621498,1.631657958031,1.624274969101
102,0.858399808407,0.858128905296,0.859670221806,0.852403163910,0.855999886990,0.850109279156,0.852618515491,0.852521479130
103,0.920215427876,0.903296947479,0.892291009426,0.890810430050,0.894677817822,0.889408409595,0.890636920929,0.888867378235
104,0.841740846634,0.834130287170,0.841423094273,0.832597792149,0.836918473244,0.833553552628,0.830509126186,0.824493288994
105,1.013402819633,1.015438795090,1.016491174698,1.013988375664,1.017358899117,1.013034462929,1.019664406776,1.023405313492
106,0.836676597595,0.822694599628,0.811861932278,0.804032146931,0.807656943798,0.808901727200,0.801531672478,0.805403411388
