feature_id,llama32-3B-Instruct_ckpt_0_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_120_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_240_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_360_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_480_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_600_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_720_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_840_contrib_mean_scaled_with_decoder_norm
0,0.777278304100,0.774051427841,0.760850369930,0.748852133751,0.745286405087,0.749399125576,0.752975344658,0.754057824612
1,0.760772109032,0.756056368351,0.749845564365,0.750984787941,0.754726231098,0.754937887192,0.751053035259,0.744083583355
2,0.797475218773,0.802282333374,0.794486522675,0.787409961224,0.795910656452,0.782338142395,0.783125102520,0.785661041737
3,0.779752790928,0.784424006939,0.782225251198,0.791008710861,0.805329203606,0.798259139061,0.799263060093,0.795139610767
4,0.841777145863,0.830105245113,0.802932739258,0.787305414677,0.793859004974,0.777045726776,0.776613950729,0.773643255234
5,0.731224238873,0.736707270145,0.741552174091,0.747182846069,0.753550887108,0.749383628368,0.751085758209,0.747629165649
6,2.093979120255,2.093971490860,2.084544181824,2.083629846573,2.082329034805,2.074880361557,2.075615882874,2.072143554688
7,1.955163121223,1.943089127541,1.933252930641,1.929498672485,1.926361680031,1.918521165848,1.909690260887,1.896595716476
8,0.739745438099,0.730192422867,0.729917764664,0.722619593143,0.726913571358,0.717326819897,0.719825267792,0.719127416611
9,0.765289664268,0.755406141281,0.746686220169,0.751367807388,0.756711542606,0.779964923859,0.783493816853,0.784822762012
10,0.779826164246,0.778919219971,0.772350788116,0.778631567955,0.779556572437,0.786931812763,0.789553225040,0.784935116768
11,0.822109639645,0.817276060581,0.825054347515,0.828426122665,0.841628491879,0.847348093987,0.845278859138,0.849598228931
