feature_id,llama32-3B-Instruct_ckpt_0_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_120_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_240_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_360_contrib_mean_scaled_with_decoder_norm
0,0.033731959760,0.030245777220,0.029498778284,0.029497073963
1,0.005702992436,0.001367032528,0.000502796902,0.001199801802
2,0.032110717148,0.028671097010,0.028459122404,0.028565647081
3,0.011351394467,0.007636766415,0.006739965174,0.006209480576
4,0.025256326422,0.023794945329,0.025515053421,0.026547592133
5,0.002679834142,0.000137302181,0.000278723455,0.000309944997
6,0.025924516842,0.023939993232,0.024788321927,0.024447938427
7,0.024049241096,0.022166958079,0.021364752203,0.021955514327
8,0.021547596902,0.018846772611,0.018864041194,0.018576329574
9,0.031260974705,0.027229044586,0.028108445928,0.029184095562
10,0.025899788365,0.022947568446,0.021798152477,0.021339878440
11,0.021056842059,0.017900409177,0.017301768064,0.017108978704
12,0.034638766199,0.030339254066,0.028379751369,0.028774853796
13,0.020282126963,0.018669212237,0.019679391757,0.018925907090
14,0.032216571271,0.030147880316,0.030472377315,0.030253054574
15,0.007660559379,0.003010501619,0.002990103792,0.003882074496
16,0.031476210803,0.027945784852,0.026784710586,0.026353394613
17,0.008223707788,0.003102869028,0.001353487954,0.001342612435
18,0.023051368073,0.020473420620,0.018310250714,0.018479879946
19,0.010085177608,0.005471198820,0.004383464810,0.004239288624
20,0.010246091522,0.011236351915,0.012642898597,0.012828526087
21,0.024272054434,0.021991170943,0.022123200819,0.021347716451
22,0.024923652411,0.020946733654,0.020548807457,0.019195314497
23,0.021935569122,0.019637648016,0.019184172153,0.019261319190
24,0.015887219459,0.012014141306,0.013309974223,0.015208764933
25,0.018214527518,0.012903464958,0.011441184208,0.011947425082
26,0.006323158741,0.003013371723,0.003410277655,0.003032338805
27,0.023346664384,0.020317742601,0.020875258371,0.020793706179
28,0.026456221938,0.019886070862,0.017715333030,0.016487225890
29,0.028757153079,0.024045813829,0.021911054850,0.021400375292
30,0.027361484244,0.024515075609,0.023860704154,0.023405436426
31,0.075635291636,0.059660352767,0.059912454337,0.061148855835
32,0.008330256678,0.005834886339,0.005646138452,0.005943950266
33,0.028064830229,0.025045944378,0.024284377694,0.024421550333
34,0.022446172312,0.017567519099,0.017584964633,0.018126944080
35,0.024954378605,0.023549692705,0.025544751436,0.026754416525
36,0.015397939831,0.009129375219,0.007360889111,0.007566535380
37,0.021764885634,0.018547022715,0.017987716943,0.018698951229
38,0.012176866643,0.007583267987,0.008827838115,0.009777418338
39,0.038480125368,0.036966174841,0.037322971970,0.037600334734
40,0.026882410049,0.023567760363,0.022813443094,0.023833468556
41,0.020961344242,0.018810767680,0.019739361480,0.019089592621
42,0.023992048576,0.021918425336,0.022097161040,0.021826695651
43,0.019651118666,0.013746581972,0.011409983039,0.012067765929
44,0.026920715347,0.023789290339,0.022839969024,0.022939605638
45,0.006007851101,0.002064319095,0.000958436518,0.001223288709
46,0.020548895001,0.017997838557,0.019889472052,0.019798401743
47,0.025330031291,0.022671421990,0.022550852969,0.022228462622
48,0.021115850657,0.017235847190,0.015334114432,0.014394978061
49,0.006151218899,0.002426981693,0.001979889814,0.002960749669
50,0.025445163250,0.021209742874,0.019167196006,0.019309157506
51,0.032263927162,0.027944816276,0.028528399765,0.028325337917
52,0.007751800120,0.002164543606,0.002047880320,0.002105576219
53,0.008294760250,0.004389871843,0.004411192145,0.004042691085
54,0.016476597637,0.012752909213,0.012649519369,0.011840426363
55,0.031786505133,0.029889240861,0.029699826613,0.029601898044
56,0.026183936745,0.022153791040,0.020436784253,0.019932787865
57,0.025763621554,0.023899680004,0.023768628016,0.023643789813
58,0.014108370990,0.011708620936,0.011802912690,0.010879552923
59,0.004595106002,0.001251644921,0.002021106659,0.001971563092
60,0.022026743740,0.019210176542,0.019733447582,0.020113153383
61,0.002104616258,0.000084378298,0.000557629333,0.000837440835
62,0.002296027262,0.000561633555,0.000476166198,0.000707124651
63,0.032129712403,0.029465401545,0.027975454926,0.027819456533
64,0.029327411205,0.026681348681,0.026417549700,0.025073787197
65,0.028953319415,0.025893475860,0.024470373988,0.024593226612
66,0.025533633307,0.023304931819,0.023479174823,0.023361250758
67,0.031778905541,0.029606271535,0.029588874429,0.029780201614
68,0.023225571960,0.020438941196,0.019381064922,0.019213873893
69,0.027326552197,0.024048034102,0.023171197623,0.023001059890
70,0.010427075438,0.006086128764,0.006339510437,0.005750810727
71,0.030413843691,0.026801716536,0.025273840874,0.022582359612
72,0.019663307816,0.016840439290,0.016990376636,0.015635371208
73,0.018937369809,0.016243416816,0.016963375732,0.016624419019
74,0.033035270870,0.030637340620,0.033188935369,0.033188354224
75,0.019630745053,0.017585353926,0.017554793507,0.017385881394
76,0.030209653080,0.026085374877,0.024770343676,0.025340991095
77,0.007951862179,0.002578430809,0.001438975800,0.001680652378
78,0.025397678837,0.021024331450,0.022020900622,0.021746009588
79,0.025418661535,0.023980261758,0.025598678738,0.026643132791
80,0.012837200426,0.009057803079,0.008944111876,0.008105861954
81,0.021025354043,0.017989762127,0.017747594044,0.017950318754
82,0.031002432108,0.028742145747,0.029615474865,0.029758600518
83,0.024877564982,0.022650901228,0.022782618180,0.023811237887
84,0.000073126823,0.000043424276,0.000019192899,0.000068778892
85,0.008716201410,0.003161803586,0.002171624685,0.002027560491
86,0.008239138871,0.000766967307,0.000673236267,0.000862492714
87,0.003556326963,0.000566131144,0.000724864483,0.000281425717
88,0.029240805656,0.026656933129,0.026399858296,0.026546938345
89,0.024865934625,0.022488677874,0.022844973952,0.023346139118
90,0.024120682850,0.022054301575,0.021749161184,0.022073630244
91,0.023219136521,0.018320225179,0.018229113892,0.016708003357
92,0.022363621742,0.018958205357,0.018862573430,0.019170576707
93,0.020564418286,0.017148274928,0.016143603250,0.015635376796
94,0.009354013950,0.004574462306,0.004020335153,0.003861282486
95,0.005195676349,0.001494377037,0.001209915383,0.001242002123
96,0.022767871618,0.020881993696,0.021144306287,0.019423047081
97,0.027129026130,0.021909950301,0.020053828135,0.021656623110
98,0.005379607901,0.001910719206,0.000169627645,0.000763169664
99,0.007498464081,0.001658560708,0.000787595869,0.001125062932
100,0.000913327734,0.000018766295,0.000462908065,0.000181326526
101,0.030273320153,0.028084924445,0.028119307011,0.029577473179
102,0.004786469974,0.000081990584,0.000163125049,0.000913833152
103,0.022274803370,0.019862510264,0.020198026672,0.019375406206
104,0.019900046289,0.017210321501,0.017487106845,0.018093260005
105,0.013413356617,0.006613933947,0.005817909259,0.005311628804
106,0.020233172923,0.018794834614,0.018967464566,0.019255978987
107,0.000172187909,0.000011561106,0.000018335895,0.000033085154
108,0.013382884674,0.009834426455,0.009622239508,0.008887873031
109,0.002127556130,0.000395725976,0.000907108421,0.002400797792
110,0.021550603211,0.019558224827,0.020156593993,0.019771154970
111,0.024807129055,0.020407648757,0.019927820191,0.018814262003
112,0.022762980312,0.019907742739,0.019955605268,0.019397033378
113,0.022897461429,0.019781855866,0.019253063947,0.019314680248
114,0.029520960525,0.027073753998,0.026682531461,0.026879485697
115,0.023190505803,0.019166450948,0.016806881875,0.015540284105
116,0.004041144624,0.000344201806,0.000229503188,0.000334186974
117,0.024439398199,0.021354293451,0.020422345027,0.019928611815
118,0.031572677195,0.027160905302,0.026939982548,0.026634305716
119,0.003149977420,0.000397614436,0.000669122266,0.000944486877
120,0.020032303408,0.018260370940,0.019223723561,0.018620418385
121,0.025949154049,0.022039286792,0.021654250100,0.021727735177
122,0.023895546794,0.021355884150,0.021208373830,0.021340236068
123,0.026722734794,0.023905057460,0.023617304862,0.025336781517
124,0.030491741374,0.029130119830,0.029513835907,0.029423901811
125,0.023550489917,0.021273104474,0.021772485226,0.021939918399
126,0.026466295123,0.025132853538,0.026057837531,0.025297198445
127,0.021673031151,0.019548116252,0.018790775910,0.019447717816
