feature_id,llama32-3B-Instruct_ckpt_0_contrib_mean,llama32-3B-Instruct_ckpt_120_contrib_mean,llama32-3B-Instruct_ckpt_240_contrib_mean,llama32-3B-Instruct_ckpt_360_contrib_mean
0,0.139760822058,0.125115871429,0.121865555644,0.121722392738
1,0.011429416016,0.002738735173,0.001006793929,0.002399727236
2,0.130650341511,0.116812743247,0.116220913827,0.116578437388
3,0.028818933293,0.019357075915,0.017077511176,0.015715645626
4,0.107407234609,0.100996702909,0.108256474137,0.112450614572
5,0.005687535275,0.000291176984,0.000590020209,0.000655406853
6,0.113212876022,0.104297153652,0.107792302966,0.106167204678
7,0.108514316380,0.099794588983,0.095871791244,0.098520845175
8,0.087838463485,0.076798491180,0.076916627586,0.075475335121
9,0.118420809507,0.103592976928,0.107152611017,0.111155115068
10,0.107766225934,0.095467574894,0.090672984719,0.088731803000
11,0.081287346780,0.068904966116,0.066583849490,0.065761640668
12,0.147919282317,0.129277378321,0.120876342058,0.122451961040
13,0.078683972359,0.072159975767,0.076203100383,0.073225103319
14,0.145507737994,0.135851979256,0.137196660042,0.135947912931
15,0.017261549830,0.006786457263,0.006734189112,0.008736467920
16,0.116960838437,0.103837706149,0.099399127066,0.097699090838
17,0.019349440932,0.007302453276,0.003184247063,0.003157628467
18,0.091576732695,0.081676565111,0.073210090399,0.074050173163
19,0.022353162989,0.012132505886,0.009710495360,0.009388385341
20,0.011464025825,0.012572767213,0.014146496542,0.014353278093
21,0.092665717006,0.083699531853,0.084200322628,0.081149920821
22,0.096990279853,0.081410631537,0.079681426287,0.074413917959
23,0.088463962078,0.079228229821,0.077399164438,0.077651761472
24,0.037317913026,0.028191825375,0.031198052689,0.035521730781
25,0.066758461297,0.047221820801,0.041726477444,0.043479409069
26,0.018406024203,0.008754606359,0.009886278771,0.008783432655
27,0.098235651851,0.085137888789,0.087366700172,0.086965397000
28,0.087789461017,0.066075928509,0.058992527425,0.054827630520
29,0.116075150669,0.096928402781,0.088009975851,0.085986375809
30,0.127591311932,0.114097490907,0.110907651484,0.108634330332
31,0.087720319629,0.071033559740,0.072147741914,0.074091859162
32,0.029698414728,0.020782006904,0.020037386566,0.021025050431
33,0.100681401789,0.089999981225,0.087344907224,0.087710313499
34,0.085142724216,0.066530883312,0.066551044583,0.068512298167
35,0.115376435220,0.109060630202,0.118483349681,0.123943045735
36,0.052804879844,0.031248055398,0.025242831558,0.025858378038
37,0.073854655027,0.062760315835,0.060850307345,0.063126735389
38,0.039618123323,0.024603083730,0.028643917292,0.031669452786
39,0.176034972072,0.168899446726,0.170641809702,0.171676754951
40,0.102111257613,0.089370690286,0.086563169956,0.090330980718
41,0.090619169176,0.081333436072,0.085274145007,0.082256622612
42,0.100653074682,0.091761030257,0.092247866094,0.091312430799
43,0.053943611681,0.038052439690,0.031756367534,0.033798243850
44,0.117478050292,0.103703230619,0.099531851709,0.099744111300
45,0.015004112385,0.005148536060,0.002389209811,0.003047972918
46,0.065819062293,0.057631324977,0.063579849899,0.063163965940
47,0.111388802528,0.099656343460,0.099035963416,0.097637593746
48,0.082217313349,0.066983781755,0.059578631073,0.055816896260
49,0.012802447192,0.005051891785,0.004120264668,0.006157462019
50,0.097066156566,0.081258758903,0.073678061366,0.074335932732
51,0.143516093493,0.124193310738,0.126772239804,0.125700429082
52,0.017808061093,0.004970550537,0.004697030410,0.004824380856
53,0.025408087298,0.013433447108,0.013496616855,0.012339821085
54,0.059928588569,0.046414770186,0.045930068940,0.043092582375
55,0.142184555531,0.133361577988,0.132465928793,0.131815806031
56,0.100147411227,0.086047090590,0.079948268831,0.077551186085
57,0.104912519455,0.097220391035,0.096691548824,0.096068993211
58,0.054501943290,0.045112136751,0.045339800417,0.041751291603
59,0.010888443328,0.002964965068,0.004787367303,0.004666154273
60,0.088045418262,0.076608613133,0.078752264380,0.080179333687
61,0.004458638374,0.000178825241,0.001181651605,0.001772646909
62,0.004484406672,0.001095834305,0.000928187743,0.001377241220
63,0.127200216055,0.116257429123,0.110203072429,0.109295316041
64,0.129479661584,0.117375858128,0.115896224976,0.109880395234
65,0.116787441075,0.104399666190,0.098616637290,0.099031746387
66,0.122419007123,0.111869685352,0.112762019038,0.111973017454
67,0.145381644368,0.135592460632,0.135833054781,0.136771634221
