reference,target,token_count,hidden_dim,delta_norm,delta_hat_norm,delta_error_norm,delta_relative_error,delta_energy_explained,delta_global_cosine,reconstruction_fve,submodule_name,tokens_verified
meta-llama,step_60,639710,3072,206.31435548999008,831.3306727770845,851.8238154102056,4.128766577522688,-16.046713451668413,0.023534564716716413,0.8021283606429201,layer_13_out,True
meta-llama,step_120,639710,3072,328.4208071400166,920.7745041539758,960.6766170257295,2.9251393216878654,-7.556440051284543,0.054210736011858135,0.8021697956124734,layer_13_out,True
meta-llama,step_180,639710,3072,452.59717533917507,960.9696600309502,1035.5749610723503,2.2880720815287754,-4.235273850271422,0.06425405896342637,0.8021924448735029,layer_13_out,True
meta-llama,step_240,639710,3072,520.7813540728969,985.9822196672717,1083.208370997935,2.0799676534623237,-3.326265439449566,0.06819557866841998,0.8021755185471129,layer_13_out,True
meta-llama,step_300,639710,3072,574.633742047924,1039.0599116509115,1148.9891753188974,1.99951567623586,-2.9980629395129488,0.07509361594939172,0.8020455841110111,layer_13_out,True
meta-llama,step_360,639710,3072,623.5994557807119,1037.4319254775226,1164.5192677667467,1.8674154651222927,-2.4872405193779095,0.08427044647047989,0.802226319253631,layer_13_out,True
meta-llama,step_420,639710,3072,643.149039881115,1060.5782031514696,1194.7956415220135,1.8577274744013759,-2.451151369145715,0.08131368141238987,0.8023618298501775,layer_13_out,True
