,dec_0_self_dot_ratio_norm,dec_1_self_dot_ratio_norm,dec_2_self_dot_ratio_norm,dec_3_self_dot_ratio_norm,dec_4_self_dot_ratio_norm,dec_5_self_dot_ratio_norm,dec_6_self_dot_ratio_norm,dec_7_self_dot_ratio_norm,dec_8_self_dot_ratio_norm,dec_9_self_dot_ratio_norm,dec_10_self_dot_ratio_norm,dec_11_self_dot_ratio_norm,dec_12_self_dot_ratio_norm,dec_13_self_dot_ratio_norm,dec_14_self_dot_ratio_norm,dec_15_self_dot_ratio_norm
22,0.0018885924,0.001888729,0.0018890854,0.0018890711,0.0018885557,0.0018893969,0.0018888231,0.0018885635,0.0018891527,0.0018878873,0.0018878578,0.0018893293,0.0018882779,0.0018890122,0.001888605,0.0018890277
23,0.0018901222,0.0018901175,0.0018901835,0.0018899603,0.0018903217,0.0018898278,0.0018899452,0.0018895951,0.0018903579,0.0018904374,0.0018899329,0.0018903412,0.0018906608,0.0018904099,0.001890527,0.0018904674
24,0.0019061696,0.0019058667,0.001905819,0.0019049027,0.0019053458,0.0019055079,0.0019053945,0.0019059456,0.001905905,0.0019049405,0.0019056115,0.0019056574,0.0019058741,0.0019052033,0.0019053433,0.0019051878
25,0.0018769724,0.0018770923,0.0018767695,0.0018764809,0.0018766335,0.0018764959,0.0018771995,0.0018766568,0.0018766659,0.0018764879,0.0018765948,0.0018767357,0.0018773415,0.0018768485,0.0018764181,0.0018770015
26,0.0018918007,0.0018913534,0.001891306,0.0018918184,0.001891485,0.0018911517,0.001891412,0.0018914484,0.0018912643,0.0018916335,0.0018913766,0.0018914411,0.0018916341,0.0018915297,0.0018912142,0.0018913476
27,0.0018930908,0.0018931674,0.0018933738,0.0018928815,0.0018936221,0.0018928271,0.0018931092,0.0018931988,0.0018927393,0.0018929024,0.0018933387,0.0018930879,0.0018927627,0.0018931527,0.0018930489,0.0018930323
28,0.0018992694,0.0018994012,0.0018996154,0.0018991377,0.0018985491,0.0018991834,0.0018989878,0.001899597,0.001898954,0.0018994423,0.0018998957,0.0018990085,0.0018993007,0.0018993529,0.0018994744,0.0018997705
29,0.0018890159,0.0018883824,0.0018891386,0.0018889855,0.0018893296,0.001889172,0.0018884405,0.0018891406,0.0018889466,0.0018889545,0.0018890017,0.0018893275,0.0018886029,0.0018886385,0.0018888945,0.0018893501
30,0.0019022991,0.0019027109,0.0019020538,0.0019022769,0.0019023824,0.0019020411,0.0019024973,0.0019025286,0.0019026946,0.0019018895,0.0019026664,0.001902867,0.0019021996,0.0019027413,0.0019025531,0.0019024633
31,0.0018847653,0.0018850246,0.0018844086,0.0018849792,0.0018846834,0.0018844797,0.001884876,0.0018850492,0.0018847126,0.0018852628,0.0018842359,0.0018851439,0.0018845754,0.0018849187,0.0018856089,0.0018846395
32,0.001880656,0.0018804092,0.0018802561,0.0018804038,0.0018803573,0.0018803118,0.0018802023,0.0018804371,0.0018804255,0.0018805092,0.001880066,0.0018805779,0.0018803213,0.0018804761,0.001880353,0.0018805234
