reference,target,token_count,hidden_dim,reference_frobenius_norm,target_frobenius_norm,delta_frobenius_norm,activation_relative_l2,activation_global_cosine,mean_token_relative_l2,mean_token_cosine,submodule_name,tokens_verified
meta-llama,step_60,639710,3072,45624.976322751274,45621.27230571071,206.31426221473805,0.004521958778789715,0.9999897784099915,0.022599058915573986,0.9996621597098502,layer_13_out,True
meta-llama,step_120,639710,3072,45624.976322751274,45617.53965467416,328.42092561027385,0.007198270598257912,0.9999741015126338,0.03521668129320901,0.9991293343691013,layer_13_out,True
meta-llama,step_180,639710,3072,45624.976322751274,45614.62472837906,452.597222668984,0.009919944274980207,0.9999508119310466,0.046663777619617534,0.9983071849657401,layer_13_out,True
meta-llama,step_240,639710,3072,45624.976322751274,45614.90727508898,520.7815678510864,0.011414396451782799,0.9999348657546266,0.05350644294001841,0.9977458479606787,layer_13_out,True
meta-llama,step_300,639710,3072,45624.976322751274,45613.997667458214,574.633834030452,0.012594720706603547,0.9999206963734356,0.05895259755386482,0.9972415571828018,layer_13_out,True
meta-llama,step_360,639710,3072,45624.976322751274,45612.45494706142,623.5994818350528,0.013667940941463891,0.9999066057229684,0.06429786655294657,0.9967534302118465,layer_13_out,True
meta-llama,step_420,639710,3072,45624.976322751274,45611.89263185663,643.1490446676362,0.014096424732760345,0.9999006580343444,0.06681807725329764,0.9965531630360339,layer_13_out,True
