,dec_0_self_dot_ratio_norm,dec_1_self_dot_ratio_norm,dec_2_self_dot_ratio_norm,dec_3_self_dot_ratio_norm
16556,0.00046133596,0.00046178317,0.00046168943,0.00046168352
16557,0.00035809033,0.00035968245,0.00036000536,0.00035994244
16558,0.0003915908,0.00039328996,0.00039367535,0.0003944912
16559,0.0004166283,0.0004171738,0.0004171218,0.000417339
16560,0.0004352066,0.000435115,0.00043447572,0.00043426978
16561,0.00039591623,0.00039753012,0.00039792893,0.00039871922
16562,0.0004120702,0.0004125265,0.0004120805,0.00041249426
16563,0.00038415604,0.00038499245,0.00038458547,0.00038507412
16564,0.0003928873,0.00039368664,0.00039358565,0.00039364223
16565,0.00040048698,0.0004018384,0.00040153725,0.00040222605
16566,0.00038523713,0.00038592156,0.00038618495,0.0003859752
16567,0.00039265864,0.00039380376,0.00039446115,0.0003945018
16568,0.00044469818,0.0004441652,0.00044357337,0.0004431524
16569,0.00037890708,0.000379833,0.00038036346,0.00038061335
16570,0.0003832706,0.0003848142,0.000384891,0.00038583673
16571,0.00040454467,0.00040519485,0.00040455264,0.00040511234
16572,0.0003706312,0.00037225714,0.00037275243,0.00037308212
16573,0.00041390109,0.00041431448,0.00041410644,0.00041413723
16574,0.00046094225,0.00046105494,0.0004607424,0.00046100793
16575,0.00038982555,0.00039035932,0.0003904959,0.00039044436
16576,0.00039250444,0.0003939183,0.00039455306,0.00039460495
16577,0.0003828708,0.00038398258,0.00038408863,0.00038410688
16578,0.00038092802,0.00038220792,0.00038260792,0.00038323406
16579,0.0003914632,0.00039266975,0.00039321926,0.00039345626
16580,0.000409727,0.00041047283,0.00041051253,0.0004112175
16581,0.00038025295,0.00038083128,0.0003803635,0.00038025173
16582,0.00038159493,0.00038255402,0.00038247026,0.00038328822
16583,0.0004002288,0.00040094968,0.00040089336,0.00040107153
16584,0.0003817501,0.00038318188,0.00038337987,0.00038344748
16585,0.0003836054,0.00038488716,0.00038523288,0.00038535928
16586,0.00045950915,0.0004594938,0.00045959585,0.0004594739
16587,0.00039006196,0.000390911,0.00039129535,0.0003918969
16588,0.000383598,0.00038495378,0.0003852196,0.00038566036
16589,0.00034919995,0.00035039696,0.00034965842,0.0003498093
16590,0.00039197996,0.00039243163,0.00039263122,0.00039307997
16591,0.00038514534,0.00038644133,0.00038612302,0.00038608376
16592,0.0003999701,0.00040064592,0.00040063343,0.00040104295
16593,0.0003974803,0.0003984775,0.00039801764,0.0003982663
16594,0.00044714496,0.00044810117,0.00044816014,0.0004488374
16595,0.00039074922,0.0003914365,0.0003905124,0.0003902797
