,dec_0_norm,dec_1_norm,dec_2_norm,dec_3_norm,dec_4_norm,dec_5_norm,dec_6_norm,dec_7_norm
0,0.44878367,0.44860998,0.44845966,0.44861123,0.4485043,0.44858733,0.44868237,0.4489837
1,0.47359717,0.47346896,0.47332302,0.47333083,0.47332928,0.47341073,0.4734112,0.47358146
2,0.25001067,0.24921462,0.24820614,0.24715945,0.24636705,0.24660574,0.24630454,0.24641037
3,0.23996368,0.2397469,0.23950805,0.23946697,0.23892239,0.23868315,0.2384851,0.23857787
4,0.59960085,0.5994002,0.5992865,0.599243,0.59929866,0.59943235,0.5994446,0.5996995
5,0.16968812,0.16974515,0.16972628,0.16974829,0.16958742,0.16986878,0.16982307,0.1700253
6,0.19056308,0.19051664,0.19051488,0.19048879,0.19046208,0.19077304,0.19071212,0.19090316
7,0.16481526,0.16484362,0.16478753,0.16452473,0.16446735,0.16443625,0.16424814,0.16430768
8,0.15547302,0.15536483,0.15532531,0.15548845,0.1556908,0.15567857,0.15571395,0.1559805
9,0.38775644,0.3873574,0.38711813,0.38736233,0.38753134,0.38737854,0.38733277,0.38745564
10,0.18315549,0.18295215,0.18290558,0.18307957,0.18307762,0.18286029,0.18307906,0.18312372
11,0.19323047,0.19329335,0.19343041,0.19327293,0.19345252,0.19367044,0.19371378,0.1938874
12,0.17929317,0.17925708,0.17933793,0.17931788,0.17911734,0.1793551,0.17955,0.17957567
13,0.18990542,0.18961737,0.18965165,0.18954615,0.18954226,0.18972701,0.18953073,0.18967853
14,0.22917235,0.22910702,0.22902134,0.22928695,0.22942965,0.2294595,0.22931054,0.22964329
15,0.37049767,0.3703922,0.37050852,0.37040463,0.3704882,0.3707964,0.37084213,0.37082455
16,0.18747182,0.18729752,0.18692651,0.18695231,0.18646082,0.18667911,0.1866702,0.18672761
17,0.22769529,0.22768226,0.22772019,0.22789663,0.22787438,0.2277646,0.22792101,0.22787774
18,0.63076675,0.63063157,0.63050115,0.63057464,0.6305227,0.6306786,0.63072693,0.63083583
19,0.363489,0.36353698,0.3635694,0.3637502,0.36376962,0.36395577,0.36417788,0.36438212
20,0.25869617,0.2585919,0.25871727,0.2590854,0.2592408,0.2592467,0.25931793,0.25963882
21,0.20196074,0.20143628,0.20115086,0.20111288,0.20092666,0.20057154,0.20038742,0.20020936
22,0.22455549,0.2243795,0.22433402,0.22426464,0.22413246,0.22420631,0.22457315,0.22494619
23,0.17658459,0.17641202,0.1763574,0.17625289,0.17603686,0.17604336,0.17608353,0.17620668
24,0.1533138,0.15312012,0.15310954,0.15290141,0.15288116,0.1531288,0.15305509,0.15323956
25,0.1764859,0.17651692,0.17634334,0.17642064,0.17628391,0.17657357,0.17655103,0.17655675
26,0.20102681,0.20094696,0.20097055,0.20102811,0.20095292,0.20126536,0.20127833,0.20147623
27,0.15710127,0.15724666,0.15746127,0.15764719,0.15758982,0.15762831,0.15764523,0.15778431
28,0.18465587,0.1846406,0.18477772,0.18480739,0.18473686,0.18491971,0.18487333,0.18513666
29,0.91492265,0.91484886,0.91478497,0.9147384,0.914728,0.9147367,0.9147298,0.91476643
30,0.20556028,0.20529379,0.20502797,0.20494016,0.20472452,0.20504612,0.20501369,0.20509523
31,0.19502287,0.19504066,0.19504745,0.19546677,0.19551277,0.19577555,0.19564429,0.19582672
32,0.20498319,0.20486012,0.20532437,0.20504142,0.2053444,0.20524472,0.20501575,0.2052115
33,0.20879403,0.20868991,0.20884772,0.20894967,0.20895149,0.20891048,0.20888366,0.2091848
