,dec_1_drift_from_origin,dec_2_drift_from_origin,dec_3_drift_from_origin,dec_4_drift_from_origin,dec_5_drift_from_origin,dec_6_drift_from_origin,dec_7_drift_from_origin
6370,0.9614723,0.9613156,0.96063566,0.96224725,0.97205865,0.96862173,0.969338
6371,0.9908051,0.9907829,0.9913734,0.9969429,1.0024353,0.98841214,0.9905966
6372,0.9489403,0.94897527,0.9481921,0.94513315,0.9460748,0.95157826,0.9387033
6373,0.9592583,0.95905864,0.95912194,0.960254,0.9647997,0.96816385,0.96178484
6374,0.5447076,0.5444602,0.5439948,0.5413816,0.542971,0.56480265,0.559786
6375,0.94043255,0.94047666,0.94021815,0.940985,0.9480439,0.9491929,0.9443168
6376,0.9742909,0.97453624,0.97423255,0.9717595,0.9603028,0.9561024,0.96371543
6377,0.9578714,0.957723,0.9569777,0.9540695,0.94935465,0.9538583,0.9602704
6378,0.94422185,0.9442846,0.944125,0.94240844,0.93896985,0.93640566,0.93704563
6379,0.97445166,0.9740069,0.9742858,0.97233504,0.97491807,0.9717159,0.98226917
6380,0.9609276,0.9611992,0.96004283,0.95676214,0.9583983,0.9743718,0.9557468
6381,0.9865381,0.98653406,0.9862387,0.986828,0.9878425,0.99929386,0.9846722
6382,0.95584565,0.955768,0.95648634,0.9593719,0.9626665,0.9621708,0.9595955
6383,0.9471528,0.9473242,0.94794935,0.952731,0.9637718,0.96573347,0.9559847
6384,0.96442956,0.964898,0.9636094,0.96018356,0.9549268,0.95826876,0.95274675
6385,0.99472076,0.9950336,0.9953728,0.9991362,1.0037863,1.0059352,0.9971523
6386,0.9721166,0.9715679,0.97172177,0.9746735,0.98132104,0.98444706,0.9833585
6387,0.9708179,0.97038126,0.970807,0.97198784,0.9665423,0.9661093,0.9745129
6388,0.9631908,0.9638734,0.9642956,0.96726644,0.97121423,0.97094554,0.9720591
6389,0.9321784,0.9324008,0.9320329,0.93197024,0.9286309,0.9282763,0.92978716
6390,0.9547833,0.95454806,0.9540589,0.953477,0.95181984,0.96143085,0.95694184
6391,1.0106581,1.0102545,1.0103303,1.0066481,0.9941612,0.99000484,0.9815748
6392,0.9636837,0.96312976,0.9632509,0.96543145,0.97125304,0.9708372,0.95643216
6393,0.91751176,0.9175943,0.9174452,0.92066777,0.9221311,0.9239959,0.91417444
6394,0.91318244,0.91328686,0.9130616,0.9144269,0.9204615,0.9311341,0.9220371
6395,0.71995276,0.72002053,0.7204925,0.7247416,0.73224425,0.7378167,0.7228695
6396,0.96552885,0.96502554,0.9649255,0.9647685,0.960097,0.95531124,0.95525944
6397,0.9472429,0.94614285,0.9467375,0.9472879,0.9549967,0.9490007,0.9409744
6398,0.9477284,0.94756496,0.9477576,0.9472334,0.9512596,0.9601091,0.95817584
6399,0.98166966,0.9818945,0.9813166,0.9762238,0.96802026,0.97058135,0.96793306
6400,0.92317945,0.92418474,0.92366576,0.92117643,0.9283102,0.9384975,0.93648195
6401,0.9730691,0.972597,0.9719015,0.97054994,0.97433275,0.9708439,0.97756565
6402,0.97906435,0.97888005,0.97856945,0.9751382,0.96597517,0.9607156,0.96241224
6403,0.94202423,0.9422869,0.9414779,0.9421025,0.94616824,0.9548374,0.9487297
6404,0.9783655,0.97841054,0.9779635,0.9754974,0.9770069,0.97427344,0.97249883
6405,0.9491027,0.94882876,0.94904995,0.95023704,0.9547919,0.9616791,0.96646786
6406,0.98098075,0.98163533,0.98068523,0.97915405,0.97822493,0.9828309,0.97863096
6407,0.99980724,1.0000925,0.9996377,0.995905,0.9904883,0.9801351,0.9868778
6408,0.99194807,0.99184346,0.9923866,0.99698,1.0004419,1.007829,1.0153517
