,dec_0_self_dot_ratio_norm,dec_1_self_dot_ratio_norm,dec_2_self_dot_ratio_norm,dec_3_self_dot_ratio_norm,dec_4_self_dot_ratio_norm,dec_5_self_dot_ratio_norm,dec_6_self_dot_ratio_norm,dec_7_self_dot_ratio_norm
0,0.00081961445,0.0017012161,0.001699271,0.0017013863,0.0016968772,0.0016683763,0.0015889339,0.0016174472
1,0.0008067739,0.0015739596,0.0015736698,0.0015735403,0.0015681145,0.0015480517,0.0014969313,0.0014652563
2,0.0009969735,0.0015387621,0.0015389606,0.0015396723,0.0015369917,0.0015116627,0.0014618357,0.0014941394
3,0.0010029005,0.0015365884,0.0015368104,0.0015374381,0.0015356289,0.0015171064,0.0015000376,0.0014823416
4,0.00092035765,0.0015910842,0.0015908367,0.0015894661,0.0015747162,0.0015248283,0.0014832,0.0015425438
5,0.000868213,0.0015572922,0.0015573511,0.0015582072,0.0015517639,0.0015174034,0.001457937,0.0014822162
6,0.0008586128,0.0016541948,0.0016534623,0.0016528558,0.0016442828,0.0016103522,0.0015732803,0.001573906
7,0.00088385673,0.0015621766,0.0015626921,0.0015638501,0.0015684138,0.0015300998,0.0015086973,0.0015384034
8,0.0006751241,0.0016174492,0.0016176288,0.001618584,0.0016221561,0.0015988548,0.0015749468,0.0015229625
9,0.0010903754,0.0015706162,0.0015712974,0.0015724736,0.001573602,0.0015280424,0.0014633406,0.0014869645
10,0.00069122,0.0014808031,0.0014805878,0.0014813726,0.001484087,0.0014726974,0.0014384538,0.0014601909
11,0.0010865015,0.0015560596,0.0015572943,0.0015555888,0.0015529497,0.001525224,0.0015009814,0.0015408753
12,0.000723923,0.0015529648,0.0015532776,0.0015544321,0.0015533399,0.0015270682,0.0014886626,0.0014336976
13,0.00082599564,0.0015667375,0.0015671472,0.001567199,0.0015613915,0.0015261216,0.0014697042,0.0015200289
14,0.0009132345,0.0015670371,0.0015674577,0.001567853,0.0015630668,0.0015153313,0.0014680028,0.0015365662
15,0.0009225069,0.0015613904,0.0015622632,0.0015622274,0.0015620681,0.0015429634,0.0015231667,0.0015830502
16,0.00094403845,0.0024274983,0.0024281917,0.002428649,0.0024278385,0.0024221153,0.0023789448,0.0024130226
17,0.00111901,0.0015714222,0.001572249,0.0015731136,0.0015741274,0.0015468822,0.0015388797,0.0014914402
18,0.0009778133,0.0015514112,0.0015516289,0.0015505634,0.0015357444,0.0014878317,0.001459186,0.0014728239
19,0.0007836598,0.0016131816,0.0016138674,0.0016153018,0.0016091367,0.0015715724,0.0015212141,0.001524338
20,0.0017686031,0.0017048422,0.0017039216,0.0017040815,0.0016916752,0.0016342791,0.0016268006,0.0016137256
21,0.0010146918,0.0015676883,0.0015679997,0.0015699479,0.0015801153,0.0015628246,0.0015247707,0.0015126877
22,0.00066890876,0.0015263513,0.0015268076,0.0015267879,0.0015208017,0.0015024497,0.0014850476,0.0015719142
23,0.0010745317,0.001596794,0.0015966716,0.0015987826,0.0016015241,0.0015825473,0.001548458,0.0015427049
24,0.00073662424,0.0015876981,0.0015872223,0.0015861116,0.0015801948,0.001545187,0.0015234596,0.0014893847
25,0.0008597634,0.0015191133,0.001519543,0.00152095,0.0015322142,0.0015160495,0.0014832317,0.0015118168
26,0.00080284226,0.0015444249,0.0015439147,0.0015448948,0.0015460164,0.0015224001,0.0014739612,0.001528089
27,0.001202415,0.0016178434,0.0016167304,0.0016175425,0.0016207317,0.0015842005,0.0015416516,0.0015066315
