,dec_0_norm,dec_1_norm,dec_2_norm,dec_3_norm,dec_4_norm,dec_5_norm,dec_6_norm,dec_7_norm
18631,0.21124108,0.21111894,0.21306898,0.2128504,0.21266069,0.21329316,0.2131248,0.21267614
18632,0.21626008,0.2162232,0.21829015,0.21808358,0.2178764,0.21845111,0.21826822,0.21783964
18633,0.21795136,0.21781735,0.21979813,0.21944654,0.21923432,0.21986851,0.21970257,0.21925308
18634,0.21175,0.21166909,0.21364164,0.2133588,0.21314101,0.21384324,0.2135761,0.21310918
18635,0.20819253,0.20804767,0.20991772,0.20964257,0.20943603,0.20999908,0.2098018,0.20941494
18636,0.21480154,0.21471113,0.21671508,0.21647865,0.2163262,0.21697122,0.21687306,0.21647635
18637,0.21033488,0.21027118,0.21234953,0.2121266,0.21197915,0.21259478,0.21242659,0.21206273
18638,0.21334293,0.21321855,0.2151503,0.21484917,0.21461599,0.21530811,0.21509127,0.21472529
18639,0.21734975,0.21724671,0.21918425,0.21884231,0.21867102,0.21942045,0.21921884,0.21886398
18640,0.22095194,0.2209175,0.22300793,0.222809,0.22271247,0.22355527,0.22337547,0.22303379
18641,0.21963455,0.21943805,0.2211182,0.22057252,0.22013494,0.22119756,0.22087067,0.2202854
18642,0.21692158,0.21679612,0.21874796,0.21846093,0.2182492,0.21886474,0.2186361,0.21826835
18643,0.21665211,0.21672408,0.21874705,0.21860299,0.21851863,0.21918805,0.21909574,0.21869543
18644,0.21714032,0.21714832,0.21912096,0.21879555,0.21864538,0.21927316,0.21910577,0.21866603
18645,0.26405928,0.2637437,0.26603407,0.26545793,0.26535743,0.26679692,0.26629412,0.2662733
18646,0.2195554,0.2194608,0.22146375,0.22121038,0.2209174,0.22167575,0.22144304,0.22097239
