,dec_1_drift_from_origin,dec_2_drift_from_origin,dec_3_drift_from_origin,dec_4_drift_from_origin,dec_5_drift_from_origin,dec_6_drift_from_origin,dec_7_drift_from_origin
11383,7.5101852e-06,9.23872e-06,1.1622906e-05,1.3411045e-05,1.5079975e-05,1.6093254e-05,1.3053417e-05
11384,2.4437904e-05,3.1471252e-05,3.7670135e-05,3.9219856e-05,4.2378902e-05,4.7326088e-05,3.874302e-05
11385,7.867813e-06,1.4126301e-05,2.0205975e-05,2.5570393e-05,3.2544136e-05,3.6239624e-05,3.4868717e-05
11386,2.3841858e-07,-3.5762787e-07,1.7881393e-07,3.5762787e-07,2.3841858e-07,1.013279e-06,2.9802322e-07
11387,3.093481e-05,4.053116e-05,4.196167e-05,4.774332e-05,5.38826e-05,5.8472157e-05,5.0663948e-05
11388,1.4543533e-05,2.2113323e-05,2.9206276e-05,3.796816e-05,4.5835972e-05,5.1498413e-05,4.6133995e-05
11389,1.2516975e-06,1.1920929e-06,3.0994415e-06,2.9206276e-06,3.0398369e-06,3.516674e-06,3.695488e-06
11390,1.4722347e-05,2.014637e-05,2.604723e-05,3.0219555e-05,2.7179718e-05,3.2365322e-05,2.7239323e-05
11391,2.861023e-05,3.6656857e-05,4.3570995e-05,4.87566e-05,5.2928925e-05,6.097555e-05,5.0842762e-05
11392,1.5079975e-05,1.8894672e-05,2.0861626e-05,2.4795532e-05,2.515316e-05,2.604723e-05,2.169609e-05
11393,1.7881393e-07,3.5762787e-07,1.1920929e-07,2.3841858e-07,-2.3841858e-07,2.3841858e-07,-2.3841858e-07
11394,2.5629997e-06,3.8146973e-06,4.4107437e-06,6.2584877e-06,6.854534e-06,6.7949295e-06,6.0796738e-06
11395,1.1920929e-07,0.0,0.0,8.34465e-07,2.3841858e-07,1.7881393e-07,-1.1920929e-07
11396,9.536743e-07,5.364418e-07,6.556511e-07,7.748604e-07,3.5762787e-07,6.556511e-07,5.9604645e-07
11397,2.9742718e-05,3.0696392e-05,3.796816e-05,4.1663647e-05,4.518032e-05,4.8995018e-05,3.8921833e-05
11398,5.9604645e-06,8.285046e-06,8.583069e-06,1.0609627e-05,1.1205673e-05,1.2457371e-05,1.001358e-05
11399,4.827976e-06,1.4364719e-05,2.503395e-05,3.08156e-05,4.0233135e-05,4.6491623e-05,4.529953e-05
11400,2.2649765e-05,2.604723e-05,3.33786e-05,3.582239e-05,3.9219856e-05,4.4465065e-05,3.4689903e-05
11401,1.1920929e-07,-2.3841858e-07,-2.3841858e-07,2.9802322e-07,5.9604645e-07,8.34465e-07,5.9604645e-07
11402,2.9802322e-07,0.0,1.1920929e-07,1.7881393e-07,8.34465e-07,8.940697e-07,5.9604645e-08
11403,7.1525574e-07,1.1920929e-07,1.5497208e-06,4.172325e-07,1.1920929e-06,1.4305115e-06,1.0728836e-06
11404,4.172325e-07,7.748604e-07,7.1525574e-07,7.1525574e-07,5.9604645e-07,1.1920929e-06,1.4305115e-06
11405,9.953976e-06,2.0623207e-05,3.385544e-05,4.1365623e-05,4.6133995e-05,5.2690506e-05,4.9829483e-05
11406,2.527237e-05,2.8729439e-05,3.105402e-05,3.325939e-05,3.5226345e-05,3.8683414e-05,3.08156e-05
11407,8.940697e-07,1.7881393e-07,8.940697e-07,4.172325e-07,7.1525574e-07,1.7881393e-07,4.7683716e-07
11408,7.1525574e-06,1.0371208e-05,1.1444092e-05,1.2040138e-05,1.3530254e-05,1.591444e-05,1.3530254e-05
11409,4.4107437e-06,1.579523e-05,3.0696392e-05,3.9041042e-05,4.720688e-05,5.543232e-05,5.8174133e-05
11410,-1.1920929e-07,9.536743e-07,5.364418e-07,1.66893e-06,8.940697e-07,1.3113022e-06,6.556511e-07
11411,1.2814999e-05,1.5974045e-05,2.0802021e-05,2.4616718e-05,3.5464764e-05,3.8027763e-05,3.528595e-05
11412,5.3048134e-06,9.417534e-06,1.0609627e-05,1.0669231e-05,1.1861324e-05,1.4483929e-05,1.1086464e-05
11413,2.3841858e-07,4.172325e-07,5.364418e-07,7.748604e-07,1.0728836e-06,8.940697e-07,4.7683716e-07
11414,1.0550022e-05,1.6212463e-05,2.348423e-05,2.8908253e-05,3.3438206e-05,3.9696693e-05,3.8444996e-05
11415,3.6358833e-05,5.64456e-05,5.6684017e-05,6.532669e-05,7.534027e-05,6.8962574e-05,6.6399574e-05
11416,1.0728836e-06,1.1920929e-06,6.556511e-07,3.5762787e-07,1.0728836e-06,5.364418e-07,1.3113022e-06
11417,1.847744e-06,6.854534e-06,1.3649464e-05,1.591444e-05,2.026558e-05,2.3663044e-05,2.425909e-05
11418,7.748604e-07,-3.5762787e-07,5.364418e-07,6.556511e-07,4.7683716e-07,5.9604645e-07,3.5762787e-07
11419,1.1920929e-07,7.1525574e-07,-2.3841858e-07,1.7881393e-07,8.940697e-07,7.1525574e-07,5.364418e-07
11420,7.3313713e-06,9.536743e-06,1.1563301e-05,1.1861324e-05,1.2278557e-05,1.50203705e-05,1.21593475e-05
11421,1.7881393e-06,2.4437904e-06,3.5762787e-06,3.874302e-06,4.172325e-06,4.827976e-06,3.8146973e-06
11422,-8.34465e-07,-8.34465e-07,1.1920929e-07,-4.7683716e-07,-5.9604645e-07,-2.3841858e-07,-1.1920929e-07
11423,3.33786e-06,3.1590462e-06,3.5762787e-06,4.9471855e-06,5.1259995e-06,5.7816505e-06,4.053116e-06
11424,1.013279e-06,9.536743e-07,2.3841858e-07,4.7683716e-07,6.556511e-07,4.172325e-07,6.556511e-07
11425,6.7949295e-06,1.3768673e-05,2.2947788e-05,2.5629997e-05,3.2305717e-05,3.8206577e-05,3.6239624e-05
11426,5.6028366e-06,1.4364719e-05,2.2947788e-05,2.938509e-05,3.3020973e-05,3.9041042e-05,3.927946e-05
11427,3.993511e-06,1.1980534e-05,2.3007393e-05,2.759695e-05,3.33786e-05,3.7431717e-05,3.695488e-05
11428,2.2053719e-06,2.861023e-06,3.6358833e-06,4.1127205e-06,3.874302e-06,5.00679e-06,4.7683716e-06
