,dec_0_norm,dec_1_norm,dec_2_norm,dec_3_norm
57819,0.2555508,0.25556058,0.25572017,0.25637236
57820,0.25502673,0.25484312,0.25438052,0.25488028
57821,0.5024935,0.4982226,0.49511573,0.49438012
57822,0.23810443,0.2382857,0.23886886,0.23911318
57823,0.22548501,0.22548921,0.22590487,0.2264641
57824,0.39168775,0.39159125,0.39171457,0.39250696
57825,0.23721544,0.23791938,0.23831673,0.23820902
57826,0.40531898,0.40218508,0.39948022,0.3975535
57827,0.26480097,0.26500767,0.26546565,0.26618943
57828,0.309117,0.30908877,0.3093656,0.31022337
57829,0.2924114,0.29218698,0.2922364,0.29272223
57830,0.22102231,0.22113994,0.22133265,0.22134964
57831,0.47630012,0.47637957,0.47690898,0.4769137
57832,0.26729715,0.2668219,0.2666059,0.26608837
57833,0.30811307,0.3061157,0.30470213,0.3042
57834,0.26915455,0.26878998,0.2685058,0.2689893
57835,0.42696244,0.42776376,0.4259489,0.42277557
57836,0.22831132,0.22819138,0.22804557,0.22809821
57837,0.24473016,0.24467073,0.24531105,0.24575338
57838,0.27140588,0.27210116,0.27279314,0.27269757
57839,0.21259578,0.21250239,0.21282417,0.21338691
57840,0.2142729,0.2149895,0.21528894,0.21563318
57841,0.32705697,0.33127338,0.33502015,0.33211082
57842,0.2924342,0.29303163,0.29407105,0.29462233
57843,0.25929433,0.25932384,0.25910884,0.25976127
57844,0.26072103,0.2611469,0.26129544,0.26174966
57845,0.23642226,0.23616725,0.23615783,0.23637755
57846,0.33568448,0.3354465,0.3351542,0.3359167
57847,0.39158052,0.39175904,0.39171845,0.39251652
57848,0.28248528,0.2831476,0.28291884,0.28348163
57849,0.29698238,0.2968658,0.29678312,0.29694676
57850,0.2519388,0.25244877,0.25259694,0.25292146
57851,0.48113653,0.4815475,0.4819378,0.4822569
57852,0.23852952,0.23879553,0.23871659,0.2389612
57853,0.58781815,0.588481,0.58890843,0.589278
57854,0.28642014,0.2872991,0.28725448,0.2876272
57855,0.2167855,0.21723667,0.2180327,0.2183739
57856,0.4432588,0.4433755,0.44396418,0.4452078
57857,0.29679567,0.29695266,0.29714006,0.29776993
57858,0.28011218,0.27992812,0.28070694,0.2808449
57859,0.46435586,0.46472386,0.46522933,0.46552205
57860,0.23056263,0.2310548,0.23219225,0.23232184
57861,0.54861367,0.54897195,0.5492789,0.5497176
57862,0.21559207,0.21583146,0.21583432,0.2164411
57863,0.30115375,0.29922065,0.29839844,0.29952067
57864,0.23486523,0.23486292,0.2345654,0.2349471
57865,0.49176452,0.49215847,0.4926644,0.49311405
57866,0.34571427,0.3464326,0.34873796,0.34731168
57867,0.24290136,0.24320255,0.24325636,0.24405085
57868,0.663623,0.66372526,0.6638905,0.6643349
57869,0.2617802,0.26219544,0.2627239,0.26290193
57870,0.34125254,0.3410974,0.34123173,0.34157103
57871,0.3291423,0.32907945,0.32888252,0.3295022
57872,0.22940104,0.22926389,0.22918938,0.22933166
57873,0.251236,0.2504644,0.2501423,0.24984545
57874,0.23774189,0.23762171,0.23771784,0.23810428
57875,0.21828447,0.21889111,0.2190545,0.21940842
57876,0.3515329,0.3511808,0.35097727,0.35180184
57877,0.26466587,0.2645365,0.2640444,0.26431692
57878,0.63816625,0.6381129,0.63816017,0.6384144
57879,0.39526108,0.39554912,0.39559233,0.39590368
57880,0.3387691,0.3384183,0.33907002,0.33949813
57881,0.26485536,0.26399317,0.26329854,0.26306003
57882,0.2516026,0.25146198,0.25093082,0.25109524
57883,0.3036813,0.3034502,0.30390018,0.30385855
57884,0.30012557,0.29850376,0.2979798,0.297357
57885,0.22844397,0.22823794,0.22831778,0.2286446
57886,0.26158217,0.26225534,0.2625296,0.2631971
57887,0.2393982,0.23984504,0.24010736,0.2399363
57888,0.2956316,0.2958628,0.29604444,0.2970838
57889,0.28967515,0.28923604,0.28870448,0.28934333
57890,0.2595504,0.25999376,0.26000595,0.26038596
57891,0.5359691,0.53613365,0.53644365,0.53664404
57892,0.24016653,0.24023256,0.24072345,0.24069227
57893,0.28619915,0.2862682,0.28661916,0.28699082
57894,0.24657172,0.24642053,0.24631545,0.24712089
57895,0.30615056,0.3063583,0.30751973,0.3080856
57896,0.27445737,0.27374092,0.27315864,0.2732512
57897,0.32685304,0.32460845,0.32307497,0.32086593
57898,0.26796928,0.2683095,0.26854315,0.26867786
57899,0.23396057,0.23363681,0.23328638,0.23332283
57900,0.50283486,0.5035014,0.50379664,0.5042178
57901,0.2211589,0.22127204,0.22086652,0.22144307
57902,0.39259776,0.39194983,0.39251548,0.39293122
57903,0.26809704,0.2676377,0.2670607,0.2668486
57904,0.2558224,0.25674617,0.25722104,0.25786525
57905,0.25833473,0.25874472,0.25856453,0.25938356
57906,0.24893981,0.24831487,0.24783832,0.24786761
57907,0.2594991,0.2600396,0.2603555,0.26021674
57908,0.21467088,0.21514177,0.21523148,0.21528849
57909,0.45358056,0.45357284,0.45408443,0.45447227
57910,0.22478388,0.22488941,0.22480379,0.22534522
57911,0.21779178,0.21778749,0.2171997,0.21735927
57912,0.27563405,0.27646568,0.2770166,0.27740988
57913,0.30100515,0.3013407,0.30177167,0.30228108
57914,0.222618,0.22290716,0.22333956,0.2231826
57915,0.25342652,0.2545687,0.25530988,0.25618792
57916,0.24814136,0.2487172,0.24900167,0.24901436
57917,0.3346453,0.33545902,0.33623394,0.33671603
57918,0.32030693,0.3207238,0.3206125,0.3209288
57919,0.24102335,0.24139117,0.24122666,0.24150044
57920,0.2451196,0.24419464,0.24364887,0.24319859
57921,0.49377185,0.49386993,0.49390003,0.49431238
57922,0.22810665,0.22809477,0.2279231,0.22828113
57923,0.5325127,0.5332564,0.53324527,0.5335279
57924,0.22099067,0.2210439,0.22092186,0.221254
57925,0.24088618,0.24021024,0.24023029,0.2404289
57926,0.25185344,0.2519746,0.25169837,0.2518554
57927,0.38096145,0.38128012,0.38165244,0.38202405
57928,0.25290266,0.25256371,0.25139657,0.25035554
57929,0.9340815,0.9340391,0.93404794,0.93408036
57930,0.40460238,0.40480697,0.40529898,0.40562406
57931,0.2785363,0.27863955,0.27912638,0.2799153
57932,0.42604876,0.4259394,0.42603663,0.4262836
57933,0.24064681,0.24066304,0.2409303,0.24116617
57934,0.24004264,0.2405745,0.24112673,0.24136396
57935,0.22925712,0.22968704,0.23071992,0.23058872
57936,0.3434967,0.34344903,0.34361508,0.34417117
57937,0.26593497,0.26657864,0.2668416,0.26693517
57938,0.22467975,0.22498453,0.22489494,0.22518851
57939,0.438849,0.439102,0.43941507,0.4396673
57940,0.27511963,0.27502003,0.27463388,0.2745774
57941,0.2826868,0.28267783,0.2823476,0.28282803
57942,0.5669368,0.567169,0.5674314,0.56787896
57943,0.27371654,0.2740451,0.27408808,0.27444157
57944,0.24118942,0.24072643,0.23984948,0.24014562
57945,0.23997872,0.24028517,0.24047184,0.24055421
57946,0.2692028,0.26988068,0.2703188,0.2704355
57947,0.23566426,0.23583831,0.23590964,0.23524278
57948,0.59243697,0.5925826,0.5926854,0.59315103
57949,0.2110427,0.2112566,0.21130544,0.21195781
57950,0.22246169,0.22264913,0.22221798,0.22259618
57951,0.24042808,0.24074554,0.24084297,0.24139455
57952,0.45806196,0.45821947,0.45880824,0.45864803
57953,0.22695744,0.22656208,0.225624,0.2256984
57954,0.23616688,0.23584016,0.23529322,0.23545149
57955,0.23886965,0.23914665,0.23931162,0.23975547
57956,0.2314325,0.23164204,0.23207869,0.23197035
57957,0.2799316,0.28004405,0.27979267,0.28064877
57958,0.3055527,0.30577108,0.30577826,0.30592185
57959,0.27423027,0.27453688,0.27496144,0.27565372
57960,0.2684039,0.26792,0.26730537,0.26636884
57961,0.4268578,0.4263898,0.4263392,0.42705432
57962,0.37496737,0.3748646,0.37506777,0.37519285
57963,0.20657545,0.20697863,0.20750462,0.20752223
57964,0.22546431,0.22571199,0.22578709,0.22617328
57965,0.25538418,0.25522017,0.25533965,0.2557553
57966,0.46308282,0.46335137,0.4635934,0.46395522
57967,0.26341063,0.26381528,0.2645919,0.2665532
57968,0.44491357,0.44532147,0.4453773,0.44585064
57969,0.5227882,0.5228631,0.52350616,0.5237572
57970,0.23537214,0.2359003,0.23600312,0.23663422
57971,0.25262046,0.25214243,0.25180525,0.25193784
57972,0.35819918,0.3587181,0.35938048,0.3600805
57973,0.4965131,0.49685648,0.4974587,0.49777877
57974,0.22563253,0.2253907,0.22531728,0.2252148
57975,0.22569709,0.22596158,0.22580786,0.22605577
57976,0.24400993,0.24406175,0.24398698,0.2444547
57977,0.3756877,0.3759921,0.37619707,0.3760531
57978,0.25407246,0.25420493,0.25424564,0.25507057
57979,0.9767995,0.976781,0.9767689,0.9767741
57980,0.22323897,0.222938,0.22235638,0.22188549
57981,0.23007406,0.2303915,0.23069842,0.2307119
57982,0.27088434,0.27098164,0.27116913,0.2715819
57983,0.9614389,0.9614186,0.96140623,0.9614299
57984,0.23720892,0.23709425,0.2374951,0.23749734
57985,0.24467862,0.24468556,0.24458697,0.24485241
57986,0.21279596,0.21302482,0.21301675,0.21297209
57987,0.24790826,0.24827254,0.24891551,0.24926427
57988,0.32128108,0.32122618,0.32149085,0.3216476
57989,0.21110278,0.21140437,0.21173097,0.212579
57990,0.24653025,0.24680369,0.24664569,0.24669497
57991,0.260907,0.26103696,0.2613526,0.26108643
57992,0.23441516,0.23470925,0.23523533,0.23546466
57993,0.44271678,0.44297028,0.44323462,0.4441351
57994,0.54826844,0.5485713,0.5491937,0.5495803
57995,0.2326072,0.23260924,0.2328024,0.23268542
57996,0.2330013,0.23349157,0.23373924,0.2345667
57997,0.19575363,0.19614884,0.19648306,0.19661872
57998,0.32261127,0.32483524,0.32801673,0.32952678
57999,0.23628905,0.23659874,0.23621322,0.23646826
58000,0.53873,0.5391477,0.5392309,0.53981453
58001,0.24136919,0.24144676,0.24149601,0.24179679
58002,0.22979295,0.23002243,0.22947626,0.22995578
58003,0.22672458,0.22694628,0.22676972,0.22736992
58004,0.25671628,0.2569012,0.25694233,0.25612414
58005,0.3859369,0.3856507,0.38572037,0.38636017
58006,0.22240129,0.22298987,0.2229625,0.2236038
58007,0.2923523,0.29264703,0.29298007,0.2938432
58008,0.34402773,0.34410027,0.34457058,0.3448
58009,0.22123376,0.2211801,0.22142202,0.2218115
58010,0.21317302,0.21329238,0.21364708,0.21362321
58011,0.21954519,0.21951923,0.2194922,0.2194934
58012,0.25709358,0.2574367,0.2581312,0.25903773
58013,0.26639813,0.26671445,0.26714677,0.26754355
58014,0.2513885,0.25172916,0.25171497,0.25199947
58015,0.2482554,0.24863036,0.24934165,0.24974148
58016,0.26231477,0.26267484,0.2625394,0.2626488
58017,0.38208136,0.382195,0.38208735,0.38288808
58018,0.29206255,0.29129082,0.289758,0.29010558
58019,0.47423482,0.4740843,0.47442928,0.47498348
58020,0.62726265,0.62470865,0.62289006,0.6214636
58021,0.2638748,0.26414698,0.2642953,0.264778
58022,0.2471929,0.24772027,0.24788864,0.24842656
58023,0.22243574,0.22293563,0.22278248,0.22285214
58024,0.488974,0.48891982,0.4891538,0.48956046
58025,0.27263403,0.27225995,0.2722388,0.2719959
58026,0.3056225,0.30599138,0.30608553,0.30705705
58027,0.28448254,0.28491473,0.28485262,0.28527483
58028,0.38316786,0.38357556,0.38414466,0.38446876
58029,0.22522919,0.22559826,0.22533336,0.22575228
58030,0.20767632,0.2081183,0.20815244,0.20846575
58031,0.3603262,0.36050794,0.3617234,0.36237395
58032,0.24257691,0.24252397,0.24186713,0.24109778
58033,0.991177,0.991152,0.9911462,0.9911544
58034,0.29309726,0.29328758,0.29320318,0.29321474
58035,0.31395575,0.31347615,0.3134333,0.31367254
58036,0.26335466,0.26352268,0.26302218,0.26290002
58037,0.2468158,0.24742556,0.24743363,0.24722855
58038,0.22082774,0.22066168,0.22101435,0.22103736
58039,0.22327857,0.22361483,0.22347571,0.22370706
58040,0.42704222,0.42677057,0.4268215,0.42765707
58041,0.2497408,0.25025618,0.2505172,0.25138095
58042,0.22476815,0.22505249,0.22521695,0.22558847
58043,0.5464994,0.5425221,0.5434457,0.54204077
58044,0.40452152,0.40470347,0.40492305,0.40533233
58045,0.23156197,0.23199771,0.2318501,0.23204383
58046,0.49159974,0.492469,0.49295878,0.4934603
58047,0.21755944,0.21741685,0.21747707,0.21772361
58048,0.26611447,0.26648447,0.26656744,0.2670697
58049,0.25546932,0.25514787,0.25448126,0.2546693
58050,0.46428534,0.46456122,0.4655987,0.4657142
58051,0.23807763,0.23803973,0.23822804,0.2379631
58052,0.22716154,0.22717902,0.22710209,0.22698385
58053,0.23452072,0.23486675,0.23498788,0.23535198
58054,0.26505563,0.26522163,0.2655819,0.2654819
58055,0.25264987,0.2524233,0.25229537,0.2527706
58056,0.4376007,0.437686,0.43798503,0.43843773
58057,0.34807828,0.34857753,0.34886736,0.34906456
58058,0.25796065,0.25801253,0.2579366,0.25808826
58059,0.23405272,0.23505475,0.2359065,0.23662059
58060,0.2562051,0.25656605,0.2562866,0.25576836
58061,0.6107192,0.6107904,0.61096966,0.61130583
58062,0.23761122,0.23813252,0.23819037,0.2383953
58063,0.21732636,0.21711567,0.21724369,0.21735854
58064,0.26306638,0.2631076,0.2630127,0.26310727
58065,0.25410065,0.25389764,0.25372916,0.25350016
58066,0.43431205,0.43482062,0.43483546,0.4352688
58067,0.38544825,0.385479,0.38634384,0.38675487
58068,0.41471437,0.4148204,0.41473937,0.4151458
58069,0.2552744,0.25556692,0.25595382,0.25586683
58070,0.24094523,0.24064623,0.24058925,0.24159414
58071,0.25215903,0.25255352,0.2525029,0.2527708
58072,0.28722847,0.2874377,0.28801605,0.28831628
58073,0.51823574,0.51817197,0.5183486,0.5187578
58074,0.25292465,0.25373194,0.25360855,0.25398797
58075,0.2377662,0.2377538,0.23780996,0.23831545
58076,0.27404246,0.2739306,0.2744783,0.27434683
58077,0.22943112,0.23021816,0.2312639,0.23131764
58078,0.47893146,0.4794703,0.47994703,0.48060268
58079,0.4775541,0.47781533,0.47827482,0.47873852
58080,0.23398389,0.23517305,0.23611146,0.23634928
58081,0.94860685,0.9485564,0.9485523,0.9485473
58082,0.38357237,0.3819137,0.38004592,0.38165548
58083,0.2180264,0.2185151,0.21868934,0.2190018
58084,0.5324091,0.5325864,0.53286076,0.5333386
58085,0.26266575,0.2623662,0.26197743,0.26196963
58086,0.5161299,0.5163038,0.51644504,0.51687884
58087,0.25849256,0.2587018,0.25904375,0.25928283
58088,0.23768075,0.23805042,0.238239,0.23839997
58089,0.32276246,0.32206833,0.32225555,0.32166022
58090,0.20286976,0.2031118,0.2030223,0.20334966
58091,0.2284994,0.22886172,0.22941661,0.2295864
58092,0.35196954,0.35198253,0.35228407,0.3527263
58093,0.45350927,0.45366025,0.4537304,0.45392755
58094,0.24206814,0.24163467,0.24119288,0.24105996
58095,0.29931888,0.29982704,0.3002024,0.3007971
58096,0.2503396,0.24982437,0.24941728,0.24983083
58097,0.47938412,0.47923553,0.48013204,0.48066285
58098,0.28829223,0.2882087,0.2881348,0.28862676
58099,0.23186843,0.23188502,0.23175934,0.2319773
58100,0.2345507,0.23453954,0.23454157,0.23479265
58101,0.23791324,0.23825856,0.23851854,0.23911978
58102,0.45019463,0.45084876,0.45154306,0.45234302
58103,0.26054212,0.2591835,0.25787768,0.25783226
58104,0.22274493,0.22338554,0.22372004,0.22395925
58105,0.32150003,0.321891,0.3220167,0.32255697
58106,0.21620792,0.21667455,0.2170803,0.21730046
58107,0.24560022,0.2460547,0.2463694,0.24631579
58108,0.26271573,0.26318708,0.2633348,0.2638916
58109,0.9837721,0.9837519,0.98373014,0.98373693
58110,0.5590034,0.55911905,0.5594388,0.5599191
58111,0.24643236,0.24642178,0.24605493,0.24608466
58112,0.22108108,0.22137022,0.22195937,0.22254592
58113,0.2392866,0.23959619,0.2396091,0.24021138
58114,0.26963118,0.26952925,0.2697619,0.2693153
58115,0.2579087,0.2581036,0.25754425,0.25793868
58116,0.2307965,0.2314247,0.23223129,0.23294087
58117,0.20420416,0.20394327,0.20408419,0.20406827
58118,0.2507538,0.25095817,0.25091523,0.25160617
58119,0.26654735,0.2669522,0.26724425,0.26737544
58120,0.36825567,0.36829895,0.3679746,0.3685307
58121,0.22656903,0.22714621,0.22744325,0.22768115
58122,0.21828169,0.21875063,0.21948448,0.21988416
58123,0.2598522,0.25975826,0.25995505,0.26061827
58124,0.23264085,0.23279655,0.23253594,0.23306693
58125,0.21955277,0.21969485,0.21973085,0.22038533
58126,0.39616632,0.39690462,0.39713764,0.3973921
58127,0.26137698,0.2609136,0.2606719,0.26119435
58128,0.21365552,0.21402639,0.21397063,0.21426415
58129,0.22146821,0.2217783,0.22211957,0.22268118
58130,0.42212993,0.42262143,0.42300317,0.42366526
58131,0.2549213,0.25531805,0.2557749,0.25618774
58132,0.24221517,0.24182352,0.24149781,0.24153787
58133,0.23465413,0.23491535,0.23533997,0.23586346
58134,0.26376432,0.26317424,0.26205903,0.26095387
58135,0.9421135,0.9412963,0.9390253,0.9385338
58136,0.24864592,0.25113672,0.25325546,0.25405988
58137,0.24732517,0.24753109,0.2475645,0.24787182
58138,0.22910644,0.22959225,0.22992958,0.23005936
58139,0.21193188,0.21202436,0.21227413,0.21256123
58140,0.25361958,0.25426543,0.25457233,0.2547924
58141,0.22767052,0.22823516,0.22848108,0.2289355
58142,0.3264073,0.32693657,0.32716236,0.32751185
58143,0.24171929,0.24100241,0.24026707,0.24003157
58144,0.24627887,0.24656743,0.24702397,0.24701317
58145,0.20484775,0.20504071,0.20508026,0.2056577
58146,0.26309672,0.26342884,0.2633726,0.26350838
58147,0.22426482,0.22442454,0.22445169,0.22497942
58148,0.23669814,0.2362453,0.23591395,0.2359996
58149,0.40078798,0.40051305,0.4007468,0.40121585
58150,0.61780304,0.61819446,0.61863655,0.6191134
58151,0.24711445,0.24697319,0.24722135,0.24703728
58152,0.50296134,0.50354064,0.50384104,0.5045344
58153,0.3252193,0.3236461,0.32280457,0.321732
58154,0.36354038,0.36380044,0.36448905,0.36488974
58155,0.2217676,0.22217166,0.22224928,0.22245964
58156,0.36110568,0.36078066,0.36115173,0.36129186
58157,0.24066505,0.24086867,0.24116264,0.24160159
58158,0.2238441,0.22439238,0.22451171,0.22511056
58159,0.25370702,0.25414154,0.25440073,0.25476536
58160,0.22712459,0.22732773,0.22747411,0.2278535
58161,0.32202995,0.32216343,0.32255867,0.32291707
58162,0.2445089,0.2441548,0.24404898,0.24447025
58163,0.23202294,0.23233506,0.23251851,0.23271798
58164,0.22445038,0.22509211,0.22604285,0.22658665
58165,0.24960104,0.24969414,0.24974671,0.2498025
58166,0.23726866,0.23783447,0.23779157,0.23789158
58167,0.2961933,0.29613808,0.29651773,0.29706243
58168,0.2796821,0.27988347,0.27980077,0.28010118
58169,0.21420155,0.21464747,0.21441428,0.21438104
58170,0.54050624,0.54068345,0.5407645,0.54115534
58171,0.23991989,0.239888,0.23963328,0.24005619
58172,0.2538431,0.25429425,0.25454596,0.25447074
58173,0.21511339,0.215124,0.21533646,0.2149125
58174,0.37360725,0.37402028,0.37443238,0.37439933
58175,0.7984385,0.7984858,0.79868275,0.7989225
58176,0.2663961,0.26594183,0.26614562,0.26625526
58177,0.27007768,0.2700523,0.27001953,0.27080736
58178,0.42528623,0.42564732,0.42592868,0.42650184
58179,0.2206678,0.22071245,0.22089536,0.22150107
58180,0.25057742,0.2509964,0.25086373,0.25133574
58181,0.22461857,0.2253103,0.22517316,0.22589184
58182,0.26428697,0.26455578,0.26460478,0.2648971
58183,0.37341753,0.37348616,0.37385893,0.37440342
58184,0.24623527,0.24705112,0.24731807,0.24695392
58185,0.204902,0.20515926,0.20514679,0.20546098
58186,0.2963741,0.2967184,0.29718104,0.29739308
